"PartNo","SupplierPartNo","Manufacturer","Model","StockLevel","Cost","RRP","Description","Image","Product Category"
"AG01-0001","AG01-0001","AGENT","agent 1000 Basic Telephone Black","1636.00","14.70","21.00","","https://www.corpteluk.com/product/image/Medium/ag01-0001_0.jpeg","Analogue Phones"
"AG01-0002","AG01-0002","AGENT","agent 1100 CLI Telephone","1961.00","25.20","36.00","","https://www.corpteluk.com/product/image/Medium/ag01-0002_0.jpeg","Analogue Phones"
"AG01-0003","AG01-0003","AGENT","agent 1000 Basic Telephone White","0.00","14.70","21.00","","https://www.corpteluk.com/product/image/Medium/ag01-0003_0.jpeg","Analogue Phones"
"AG01-0004","AG01-0004","AGENT","Agent 1000 Telephone Spare Handset (Black)","12.00","15.00","15.00","","https://www.corpteluk.com/product/image/Medium/ag01-0004_0.jpeg","Analogue Phones"
"AG01-0005","AG01-0005","AGENT","agent Handset Cord - White - 5m","64.00","3.50","3.50","","","Analogue Phones"
"AG01-0006","AG01-0006","AGENT","agent 1000 Basic Telephone Red","832.00","14.70","21.00","","https://www.corpteluk.com/product/image/Medium/ag01-0006_0.jpeg","Analogue Phones"
"AG22-0001","AG22-0001","AGENT","agent Bottom Half Cable - U10P","314.00","7.00","10.00","","https://www.corpteluk.com/product/image/Medium/ag22-0001_0.jpeg","Headset Cables"
"AG22-0016","AG22-0016","AGENT","agent Leatherette Ear Cushion","0.00","1.12","1.60","","https://www.corpteluk.com/product/image/Medium/ag22-0016_0.jpeg","Headset Spares"
"AG22-0017","AG22-0017","AGENT","agent Foam Donut Ear Cushion (10 pack)","0.00","9.45","13.50","","https://www.corpteluk.com/product/image/Medium/ag22-0017_0.jpeg","Headset Spares"
"AG22-0018","AG22-0018","AGENT","agent NC Windshield (10 pack)","0.00","9.00","13.00","","","Corded Headsets"
"AG22-0026","AG22-0026","AGENT","agent Training Cord","336.00","14.00","20.00","","https://www.corpteluk.com/product/image/Medium/ag22-0026_0.jpeg","Headset Cables"
